Name,undergradEnrollment,freshmenFinAidPercent,tuitionFees2013_14,geographicRegion,control,HBCU,Tribal college,degreeUrbanization,perc_AmericanIndianAlaskaNative,perc_Asian,perc_BlackAfricanAmerican,perc_HispanicLatino,perc_NativeHawaiian_OtherPacificIslander,perc_White,perc_MutiRacial,perc_RaceUnknown,perc_NonresidentAlien,perc_Women,perc_FreshmenPellGrants,perc_FreshmenInstGrantAid,numPOC,perc_POC,numWhite,tuition1000Dollar,controlPublic,HBCUYes,geographicRegion_factor,degreeUrbanization_factor
Brown University,6455,64,45612,New England,Private not-for-profit,No,No,City,0,12,6,11,0,43,5,10,12,52,17,46,1871.9499999999998,28.999999999999996,2775.65,45.612,0,0,New England,City
Bryant University,3287,89,37234,New England,Private not-for-profit,No,No,Suburb,0,4,4,6,0,74,0,3,7,42,16,87,460.18000000000006,14.000000000000002,2432.38,37.234,0,0,New England,Suburb
Johnson & Wales University-Providence,9401,99,27456,New England,Private not-for-profit,No,No,City,0,1,9,9,0,54,4,12,10,58,39,98,1786.19,19,5076.54,27.456,0,0,New England,City
New England Institute of Technology,2860,91,21285,New England,Private not-for-profit,No,No,Suburb,1,2,5,9,0,68,1,11,4,31,52,45,486.19999999999993,17,1944.8000000000002,21.285,0,0,New England,Suburb
Providence College,4135,81,43245,New England,Private not-for-profit,No,No,City,0,1,4,7,0,77,2,8,2,56,15,77,496.20000000000005,12.000000000000002,3183.9500000000003,43.245,0,0,New England,City
Rhode Island College,7505,86,7602,New England,Public,No,No,Suburb,0,2,7,12,0,64,2,11,0,67,43,38,1576.0500000000002,21.000000000000004,4803.2,7.602,1,0,New England,Suburb
University of Rhode Island,13354,91,12450,New England,Public,No,No,Suburb,0,3,5,9,0,68,2,12,1,54,26,79,2270.18,17,9080.720000000001,12.45,1,0,New England,Suburb
Roger Williams University,4411,91,31668,New England,Private not-for-profit,No,No,Suburb,0,1,2,5,0,75,2,10,5,50,13,90,352.88,8,3308.25,31.668,0,0,New England,Suburb
Salve Regina University,2026,92,34950,New England,Private not-for-profit,No,No,Suburb,0,1,2,6,0,76,2,12,1,70,26,89,182.34,9,1539.76,34.95,0,0,New England,Suburb
Allen University,651,93,11940,Southeast,Private not-for-profit,Yes,No,City,0,0,100,0,0,0,0,0,0,62,84,32,651,100,0,11.94,0,1,Southeast,City
Anderson University,2652,100,22790,Southeast,Private not-for-profit,No,No,City,1,1,9,3,0,82,0,4,0,67,29,99,371.28000000000003,14.000000000000002,2174.64,22.79,0,0,Southeast,City
Charleston Southern University,2912,100,22090,Southeast,Private not-for-profit,No,No,City,1,1,30,3,0,59,2,3,1,64,45,99,1019.1999999999999,35,1718.08,22.09,0,0,Southeast,City
Benedict College,2512,98,18254,Southeast,Private not-for-profit,Yes,No,City,0,0,99,0,0,0,0,0,0,50,82,89,2486.88,99,0,18.254,0,1,Southeast,City
Southern Wesleyan University,1333,97,22200,Southeast,Private not-for-profit,No,No,Suburb,0,0,29,3,0,57,1,6,2,61,57,82,426.55999999999995,31.999999999999996,759.81,22.2,0,0,Southeast,Suburb
College of Charleston,10488,75,10626,Southeast,Public,No,No,City,0,2,6,4,0,82,3,1,1,62,20,35,1258.56,12,8600.16,10.626,1,0,Southeast,City
Citadel Military College of South Carolina,2735,85,10838,Southeast,Public,No,No,City,1,3,9,6,0,77,2,0,1,9,21,34,519.65,19,2105.9500000000003,10.838,1,0,Southeast,City
Claflin University,1834,98,15010,Southeast,Private not-for-profit,Yes,No,Town,1,0,91,2,0,2,0,0,4,63,92,58,1723.96,94,36.68,15.01,0,1,Southeast,Town
Clemson University,16931,91,13054,Southeast,Public,No,No,Suburb,0,2,6,3,0,83,2,3,1,46,16,65,1862.41,11,14052.73,13.054,1,0,Southeast,Suburb
Coker College,1144,100,24579,Southeast,Private not-for-profit,No,No,Town,0,0,36,3,0,51,2,6,2,63,59,90,446.16,39,583.44,24.579,0,0,Southeast,Town
Columbia International University,584,93,18930,Southeast,Private not-for-profit,No,No,City,0,2,11,4,0,76,2,2,3,46,42,91,99.28,17,443.84000000000003,18.93,0,0,Southeast,City
Columbia College,1010,98,26800,Southeast,Private not-for-profit,No,No,City,0,1,38,6,0,51,3,1,1,95,51,97,454.5,45,515.1,26.8,0,0,Southeast,City
Converse College,746,98,29124,Southeast,Private not-for-profit,No,No,City,0,1,6,4,0,56,3,28,2,100,44,98,82.05999999999999,10.999999999999998,417.76000000000005,29.124,0,0,Southeast,City
Erskine College,605,100,31580,Southeast,Private not-for-profit,No,No,Rural,0,1,9,4,0,66,0,20,0,48,45,100,84.69999999999999,13.999999999999998,399.3,31.58,0,0,Southeast,Rural
Francis Marion University,3714,99,9386,Southeast,Public,No,No,Suburb,0,1,49,1,0,46,0,1,1,69,65,24,1894.14,51,1708.44,9.386,1,0,Southeast,Suburb
Furman University,2797,86,43164,Southeast,Private not-for-profit,No,No,Suburb,0,2,5,3,0,80,2,3,4,57,14,82,279.7,10,2237.6,43.164,0,0,Southeast,Suburb
Lander University,2792,99,10100,Southeast,Public,No,No,Town,0,0,33,1,0,56,2,4,3,69,51,38,949.2800000000001,34,1563.5200000000002,10.1,1,0,Southeast,Town
Limestone College,3241,100,22080,Southeast,Private not-for-profit,No,No,Town,0,1,50,2,0,41,0,2,3,57,47,92,1717.73,53,1328.81,22.08,0,0,Southeast,Town
Morris College,824,99,11087,Southeast,Private not-for-profit,Yes,No,City,0,0,97,1,0,0,1,0,0,55,91,16,807.52,98,0,11.087,0,1,Southeast,City
Newberry College,1039,100,23800,Southeast,Private not-for-profit,No,No,Town,1,1,26,4,0,61,2,2,3,46,56,99,332.48,32,633.79,23.8,0,0,Southeast,Town
North Greenville University,2257,100,14772,Southeast,Private not-for-profit,No,No,Rural,0,0,7,2,0,80,0,10,0,50,40,100,203.13000000000002,9.000000000000002,1805.6000000000001,14.772,0,0,Southeast,Rural
Presbyterian College,1123,100,33650,Southeast,Private not-for-profit,No,No,Town,0,1,11,1,0,80,1,1,4,55,27,99,145.99,13,898.4000000000001,33.65,0,0,Southeast,Town
University of South Carolina-Aiken,3175,97,9308,Southeast,Public,No,No,Suburb,0,1,26,4,0,61,3,3,2,63,49,27,984.25,31,1936.75,9.308,1,0,Southeast,Suburb
University of South Carolina-Beaufort,1724,91,8972,Southeast,Public,No,No,Town,0,1,19,5,0,62,3,8,1,61,42,29,431,25,1068.8799999999999,8.972,1,0,Southeast,Town
University of South Carolina-Columbia,24180,90,10816,Southeast,Public,No,No,City,0,2,10,4,0,77,3,2,2,54,19,63,3868.8,16,18618.600000000002,10.816,1,0,Southeast,City
Coastal Carolina University,8867,91,9760,Southeast,Public,No,No,City,0,1,20,4,0,69,3,1,1,54,39,29,2216.75,25,6118.23,9.76,1,0,Southeast,City
South Carolina State University,2937,98,9776,Southeast,Public,Yes,No,Town,0,1,95,1,0,3,0,1,0,52,79,23,2848.89,97,88.11,9.776,1,1,Southeast,Town
University of South Carolina-Upstate,5308,97,10198,Southeast,Public,No,No,Suburb,0,2,27,4,0,56,3,6,2,65,50,34,1751.64,33,2972.4800000000005,10.198,1,0,Southeast,Suburb
Voorhees College,536,99,10780,Southeast,Private not-for-profit,Yes,No,Rural,0,0,98,1,0,1,0,0,1,56,92,45,530.64,99,5.36,10.78,0,1,Southeast,Rural
Winthrop University,5048,99,13670,Southeast,Public,No,No,City,0,1,30,3,0,59,2,0,3,67,45,46,1716.32,34,2978.3199999999997,13.67,1,0,Southeast,City
Wofford College,1615,92,35515,Southeast,Private not-for-profit,No,No,City,0,3,8,2,0,82,2,1,2,48,17,89,209.95000000000002,13,1324.3,35.515,0,0,Southeast,City
Augustana College,1697,100,28630,Plains,Private not-for-profit,No,No,City,0,1,2,2,0,86,2,0,8,59,20,100,84.85000000000001,5,1459.42,28.63,0,0,Plains,City
Black Hills State University,4002,92,7617,Plains,Public,No,No,Town,4,1,1,4,0,85,3,1,1,63,39,40,400.20000000000005,10,3401.7,7.617,1,0,Plains,Town
Dakota State University,2876,94,7506,Plains,Public,No,No,Town,1,1,3,3,0,86,3,2,1,48,40,58,230.08,8,2473.36,7.506,1,0,Plains,Town
Dakota Wesleyan University,810,100,22700,Plains,Private not-for-profit,No,No,Town,1,0,2,4,0,89,2,0,1,55,37,100,56.7,7.000000000000001,720.9,22.7,0,0,Plains,Town
Mount Marty College,1068,99,22892,Plains,Private not-for-profit,No,No,Town,3,1,3,6,0,86,0,2,0,62,39,92,138.84,13,918.48,22.892,0,0,Plains,Town
Northern State University,2826,97,7563,Plains,Public,No,No,Town,1,1,1,3,0,84,2,1,6,58,37,63,169.56,6,2373.8399999999997,7.563,1,0,Plains,Town
Presentation College,791,99,17014,Plains,Private not-for-profit,No,No,Town,3,1,11,5,0,73,2,4,0,69,45,87,158.20000000000002,20,577.43,17.014,0,0,Plains,Town
South Dakota State University,10969,92,7713,Plains,Public,No,No,Town,1,1,2,2,0,90,2,0,2,52,30,54,658.14,6,9872.1,7.713,1,0,Plains,Town
University of Sioux Falls,1100,100,24550,Plains,Private not-for-profit,No,No,City,0,1,4,3,0,88,3,1,1,59,29,100,88,8,968,24.55,0,0,Plains,City
University of South Dakota,7633,93,8022,Plains,Public,No,No,Town,2,1,2,3,0,86,3,1,1,63,29,62,610.64,8,6564.38,8.022,1,0,Plains,Town
Aquinas College,505,100,20550,Southeast,Private not-for-profit,No,No,City,0,4,8,4,1,72,2,7,3,82,50,78,85.85000000000001,17,363.59999999999997,20.55,0,0,Southeast,City
Austin Peay State University,9550,99,6876,Southeast,Public,No,No,City,0,1,19,6,0,66,5,2,0,60,56,20,2483,26,6303,6.876,1,0,Southeast,City
Belmont University,5506,87,27380,Southeast,Private not-for-profit,No,No,City,0,2,4,4,0,82,3,4,1,60,15,69,550.6,10,4514.92,27.38,0,0,Southeast,City
Bethel University,5124,94,15714,Southeast,Private not-for-profit,No,No,Town,0,1,37,1,0,51,1,8,1,56,76,45,1998.3600000000001,39,2613.2400000000002,15.714,0,0,Southeast,Town
Bryan College-Dayton,1573,91,21150,Southeast,Private not-for-profit,No,No,Town,0,1,5,1,0,83,2,6,2,56,39,87,110.11000000000001,7.000000000000001,1305.59,21.15,0,0,Southeast,Town
Carson-Newman University,1713,100,23696,Southeast,Private not-for-profit,No,No,Suburb,0,0,9,1,0,83,2,1,3,55,51,99,171.29999999999998,10,1421.79,23.696,0,0,Southeast,Suburb
Christian Brothers University,1168,100,28210,Southeast,Private not-for-profit,No,No,City,0,7,32,7,0,46,3,1,5,54,49,100,537.28,46,537.28,28.21,0,0,Southeast,City
Cumberland University,1269,100,20200,Southeast,Private not-for-profit,No,No,Town,0,1,11,3,0,68,0,14,4,54,47,98,190.35,15,862.9200000000001,20.2,0,0,Southeast,Town
Lipscomb University,2890,100,26094,Southeast,Private not-for-profit,No,No,City,0,3,8,5,0,77,2,4,2,60,26,100,462.40000000000003,16,2225.3,26.094,0,0,Southeast,City
East Tennessee State University,11820,94,7249,Southeast,Public,No,No,City,0,1,6,2,0,85,2,1,3,57,46,17,1063.8,9,10047,7.249,1,0,Southeast,City
Fisk University,611,98,20449,Southeast,Private not-for-profit,Yes,No,City,0,1,87,1,0,1,1,9,0,66,62,91,543.79,88.99999999999999,6.11,20.449,0,1,Southeast,City
Welch College,338,100,12842,Southeast,Private not-for-profit,No,No,City,0,1,8,2,0,81,1,0,7,48,55,80,37.18,11,273.78000000000003,12.842,0,0,Southeast,City
Freed-Hardeman University,1385,100,20468,Southeast,Private not-for-profit,No,No,Town,0,0,5,1,0,86,2,3,2,58,31,100,83.10000000000001,6.000000000000001,1191.1,20.468,0,0,Southeast,Town
King University,2191,92,24960,Southeast,Private not-for-profit,No,No,City,0,1,5,2,0,80,1,8,3,65,48,81,175.28,8,1752.8000000000002,24.96,0,0,Southeast,City
Lane College,1554,99,9180,Southeast,Private not-for-profit,Yes,No,City,0,0,100,0,0,0,0,0,0,48,94,25,1554,100,0,9.18,0,1,Southeast,City
Le Moyne-Owen College,1023,94,10680,Southeast,Private not-for-profit,Yes,No,City,0,0,99,0,0,0,0,0,0,64,85,21,1012.77,99,0,10.68,0,1,Southeast,City
Lee University,4550,94,13750,Southeast,Private not-for-profit,No,No,City,0,1,5,4,0,76,0,9,4,57,37,74,455,10,3458,13.75,0,0,Southeast,City
Lincoln Memorial University,1713,87,19490,Southeast,Private not-for-profit,No,No,Town,0,1,4,2,0,84,1,5,2,71,43,69,119.91000000000001,7.000000000000001,1438.9199999999998,19.49,0,0,Southeast,Town
Martin Methodist College,1144,97,22272,Southeast,Private not-for-profit,No,No,Town,1,0,10,2,0,67,0,15,5,62,66,91,148.72,13,766.48,22.272,0,0,Southeast,Town
Maryville College,1168,100,31132,Southeast,Private not-for-profit,No,No,Suburb,1,1,7,3,0,82,2,0,4,56,48,100,140.16000000000003,12.000000000000002,957.76,31.132,0,0,Southeast,Suburb
University of Memphis,17223,97,8312,Southeast,Public,No,No,City,0,3,38,3,0,51,3,0,1,60,48,34,7578.120000000001,44.00000000000001,8783.73,8.312,1,0,Southeast,City
Middle Tennessee State University,21162,99,7546,Southeast,Public,No,No,City,0,3,20,4,0,66,3,1,2,53,51,31,5713.740000000001,27,13966.92,7.546,1,0,Southeast,City
Milligan College,973,98,27916,Southeast,Private not-for-profit,No,No,Suburb,1,1,5,4,0,84,2,0,3,62,32,93,107.03000000000002,11.000000000000002,817.3199999999999,27.916,0,0,Southeast,Suburb
Rhodes College,2027,95,39794,Southeast,Private not-for-profit,No,No,City,0,6,6,3,0,77,3,2,3,58,15,93,304.05,15,1560.79,39.794,0,0,Southeast,City
Sewanee-The University of the South,1620,77,35756,Southeast,Private not-for-profit,No,No,Rural,0,2,5,4,0,82,4,0,3,51,20,71,178.20000000000002,11.000000000000002,1328.3999999999999,35.756,0,0,Southeast,Rural
Southern Adventist University,2825,99,19790,Southeast,Private not-for-profit,No,No,Suburb,0,7,11,20,1,52,3,1,5,56,38,96,1101.75,39,1469,19.79,0,0,Southeast,Suburb
Tennessee Wesleyan College,1068,95,21800,Southeast,Private not-for-profit,No,No,Town,0,1,7,2,0,82,2,3,3,62,51,77,106.80000000000001,10,875.76,21.8,0,0,Southeast,Town
The University of Tennessee-Chattanooga,10297,96,7554,Southeast,Public,No,No,City,0,2,11,3,0,74,8,1,1,55,35,35,1647.52,16,7619.78,7.554,1,0,Southeast,City
The University of Tennessee-Knoxville,21182,96,11194,Southeast,Public,No,No,City,0,3,7,3,0,80,3,2,2,49,30,57,2753.6600000000003,13,16945.600000000002,11.194,1,0,Southeast,City
The University of Tennessee-Martin,7025,96,7507,Southeast,Public,No,No,Town,0,0,16,2,0,77,2,0,3,58,53,55,1264.5,18,5409.25,7.507,1,0,Southeast,Town
Tennessee State University,6816,98,6498,Southeast,Public,Yes,No,City,0,1,76,1,0,18,0,1,2,61,77,27,5316.4800000000005,78,1226.8799999999999,6.498,1,1,Southeast,City
Tennessee Technological University,10052,98,7063,Southeast,Public,No,No,Town,0,1,4,2,0,82,2,0,8,44,36,30,703.6400000000001,7.000000000000001,8242.64,7.063,1,0,Southeast,Town
Trevecca Nazarene University,1492,99,22330,Southeast,Private not-for-profit,No,No,City,1,1,8,3,0,70,2,14,1,55,40,99,193.96,13,1044.3999999999999,22.33,0,0,Southeast,City
Tusculum College,1844,99,22250,Southeast,Private not-for-profit,No,No,Town,1,0,11,2,0,83,0,0,2,57,67,91,258.15999999999997,13.999999999999998,1530.52,22.25,0,0,Southeast,Town
Union University,2826,100,26880,Southeast,Private not-for-profit,No,No,City,0,1,16,2,0,67,1,10,1,61,33,100,536.94,19.000000000000004,1893.42,26.88,0,0,Southeast,City
Vanderbilt University,6835,65,42978,Southeast,Private not-for-profit,No,No,City,0,8,8,8,0,60,5,4,6,50,13,60,1640.3999999999999,24,4101,42.978,0,0,Southeast,City
Abilene Christian University,3727,99,28350,Southwest,Private not-for-profit,No,No,City,0,1,7,12,0,70,4,1,4,57,23,99,745.4000000000001,20,2608.8999999999996,28.35,0,0,Southwest,City
Angelo State University,5473,93,6559,Southwest,Public,No,No,City,0,1,8,30,0,54,2,0,3,54,47,51,2134.4700000000003,39.00000000000001,2955.42,6.559,1,0,Southwest,City
Austin College,1207,99,33830,Southwest,Private not-for-profit,No,No,City,1,15,6,16,0,58,1,1,3,51,30,99,458.66,38,700.06,33.83,0,0,Southwest,City
Baylor University,13292,96,35972,Southwest,Private not-for-profit,No,No,City,0,6,7,14,0,64,5,0,3,58,18,94,3588.84,27,8506.880000000001,35.972,0,0,Southwest,City
Concordia University-Texas,1531,97,25880,Southwest,Private not-for-profit,No,No,City,1,3,12,22,0,50,0,11,1,65,38,89,581.78,38,765.5,25.88,0,0,Southwest,City
Texas A & M University-Corpus Christi,9152,74,7172,Southwest,Public,No,No,City,0,2,5,46,0,40,2,1,3,58,46,11,4850.56,53,3660.8,7.172,1,0,Southwest,City
Dallas Baptist University,3435,95,22350,Southwest,Private not-for-profit,No,No,City,1,2,16,12,0,61,0,0,7,58,25,91,1064.85,31,2095.35,22.35,0,0,Southwest,City
University of Dallas,1380,100,33110,Southwest,Private not-for-profit,No,No,City,0,4,1,19,0,67,3,2,3,54,23,100,331.2,24,924.6,33.11,0,0,Southwest,City
East Texas Baptist University,1196,100,22590,Southwest,Private not-for-profit,No,No,Town,1,0,19,12,0,63,3,1,1,53,55,96,382.72,32,753.48,22.59,0,0,Southwest,Town
Texas A & M University-Texarkana,1401,98,5578,Southwest,Public,No,No,Rural,0,1,16,11,0,67,3,1,1,64,50,90,392.28000000000003,28.000000000000004,938.6700000000001,5.578,1,0,Southwest,Rural
Texas A & M University-Commerce,6969,93,6583,Southwest,Public,No,No,Town,1,2,20,14,0,55,3,1,4,59,57,48,2578.5299999999997,36.99999999999999,3832.9500000000003,6.583,1,0,Southwest,Town
Hardin-Simmons University,1772,98,23460,Southwest,Private not-for-profit,No,No,City,0,3,6,14,0,70,2,2,2,52,34,88,407.56,23,1240.3999999999999,23.46,0,0,Southwest,City
Houston Baptist University,2171,100,27930,Southwest,Private not-for-profit,No,No,City,0,13,19,26,0,28,7,3,4,63,51,99,1259.18,58.00000000000001,607.8800000000001,27.93,0,0,Southwest,City
University of Houston-Downtown,13486,83,5238,Southwest,Public,No,No,City,0,9,25,39,0,18,1,1,5,60,65,24,9844.78,73.00000000000001,2427.48,5.238,1,0,Southwest,City
University of Houston-Victoria,2889,96,6248,Southwest,Public,No,No,City,0,7,17,31,0,40,2,1,1,66,67,90,1588.95,55.00000000000001,1155.6000000000001,6.248,1,0,Southwest,City
University of Houston,31706,87,8401,Southwest,Public,No,No,City,0,21,11,30,0,29,3,1,5,50,41,65,19657.72,62,9194.74,8.401,1,0,Southwest,City
Howard Payne University,1100,99,23200,Southwest,Private not-for-profit,No,No,Town,0,0,9,19,0,66,3,1,0,47,45,99,308.00000000000006,28.000000000000004,726,23.2,0,0,Southwest,Town
Huston-Tillotson University,926,97,13494,Southwest,Private not-for-profit,Yes,No,City,0,0,73,18,0,4,0,1,3,53,74,46,842.66,90.99999999999999,37.04,13.494,0,1,Southwest,City
University of the Incarnate Word,6491,100,24790,Southwest,Private not-for-profit,No,No,City,0,2,7,59,0,21,1,6,4,61,48,90,4413.879999999999,67.99999999999999,1363.11,24.79,0,0,Southwest,City
Jarvis Christian College,609,98,11369,Southwest,Private not-for-profit,Yes,No,Rural,0,0,88,7,0,4,0,0,0,46,85,53,578.55,95,24.36,11.369,0,1,Southwest,Rural
Lamar University,9382,81,7429,Southwest,Public,No,No,City,0,4,30,11,0,50,2,2,2,58,53,12,4221.9,44.99999999999999,4691,7.429,1,0,Southwest,City
Texas A & M International University,6585,99,5818,Southwest,Public,No,No,City,0,1,1,94,0,2,0,0,2,58,78,61,6321.5999999999995,96,131.7,5.818,1,0,Southwest,City
LeTourneau University,2305,99,25740,Southwest,Private not-for-profit,No,No,City,0,1,9,9,0,62,3,11,5,47,33,96,437.95,19,1429.1,25.74,0,0,Southwest,City
Lubbock Christian University,1531,99,18740,Southwest,Private not-for-profit,No,No,City,1,0,6,21,0,70,0,0,2,61,37,90,428.67999999999995,27.999999999999996,1071.7,18.74,0,0,Southwest,City
University of Mary Hardin-Baylor,3063,96,25200,Southwest,Private not-for-profit,No,No,Suburb,1,1,14,17,0,60,2,2,3,62,42,95,1010.7900000000001,33,1837.8,25.2,0,0,Southwest,Suburb
McMurry University,1212,99,24296,Southwest,Private not-for-profit,No,No,City,1,1,16,21,0,58,2,0,1,49,50,98,472.68,39,702.9599999999999,24.296,0,0,Southwest,City
Midwestern State University,5193,90,7665,Southwest,Public,No,No,City,1,3,15,15,0,58,2,1,5,58,40,50,1765.62,34,3011.9399999999996,7.665,1,0,Southwest,City
University of North Texas,31243,89,8745,Southwest,Public,No,No,City,1,5,14,21,0,51,3,1,4,53,39,54,12809.630000000001,41,15933.93,8.745,1,0,Southwest,City
Our Lady of the Lake University,1555,97,23938,Southwest,Private not-for-profit,No,No,City,1,1,8,73,0,12,0,5,1,72,67,96,1290.6499999999999,83,186.6,23.938,0,0,Southwest,City
The University of Texas-Pan American,17230,90,5173,Southwest,Public,No,No,City,0,1,1,90,0,3,0,3,2,55,70,36,15851.6,92,516.9,5.173,1,0,Southwest,City
The University of Texas at Brownsville,11220,89,5372,Southwest,Public,No,No,City,0,1,1,90,0,4,0,0,4,57,78,11,10322.4,92,448.8,5.372,1,0,Southwest,City
Paul Quinn College,243,71,13525,Southwest,Private not-for-profit,Yes,No,City,0,0,87,11,0,1,0,0,1,54,59,4,238.14,98,2.43,13.525,0,1,Southwest,City
Prairie View A & M University,6731,97,6764,Southwest,Public,Yes,No,Town,0,2,86,6,0,3,1,1,1,58,74,40,6327.139999999999,94,201.92999999999998,6.764,1,1,Southwest,Town
Rice University,3965,75,38941,Southwest,Private not-for-profit,No,No,City,0,21,6,15,0,39,5,1,12,49,19,60,1665.3000000000002,42.00000000000001,1546.3500000000001,38.941,0,0,Southwest,City
Saint Edward's University,4089,90,33720,Southwest,Private not-for-profit,No,No,City,0,3,4,37,0,43,3,2,8,61,35,85,1799.16,44,1758.27,33.72,0,0,Southwest,City
University of St Thomas,1572,92,28240,Southwest,Private not-for-profit,No,No,City,0,12,6,37,0,32,2,1,9,62,38,91,864.6,55.00000000000001,503.04,28.24,0,0,Southwest,City
Sam Houston State University,16255,87,7022,Southwest,Public,No,No,Town,0,1,18,19,0,56,2,2,1,59,46,23,6176.9,38,9102.800000000001,7.022,1,0,Southwest,Town
Schreiner University,1065,100,22484,Southwest,Private not-for-profit,No,No,Town,0,1,3,29,0,62,4,0,0,57,44,100,351.44999999999993,32.99999999999999,660.3,22.484,0,0,Southwest,Town
St Mary's University,2393,98,25126,Southwest,Private not-for-profit,No,No,City,0,3,4,72,0,14,0,3,4,56,53,96,1890.47,79,335.02000000000004,25.126,0,0,Southwest,City
Southern Methodist University,6357,76,43800,Southwest,Private not-for-profit,No,No,Suburb,0,7,6,12,0,65,3,0,7,51,13,73,1589.25,25,4132.05,43.8,0,0,Southwest,Suburb
Southwestern Assemblies of God University,1700,99,17830,Southwest,Private not-for-profit,No,No,Suburb,2,1,10,20,1,64,1,1,0,52,49,76,578,34,1088,17.83,0,0,Southwest,Suburb
Southwestern University,1535,100,35240,Southwest,Private not-for-profit,No,No,Suburb,1,4,5,19,0,67,2,1,2,57,27,99,445.15000000000003,29.000000000000004,1028.45,35.24,0,0,Southwest,Suburb
Stephen F Austin State University,11006,86,8412,Southwest,Public,No,No,Rural,1,1,22,14,0,57,2,3,1,63,46,45,4182.28,38,6273.419999999999,8.412,1,0,Southwest,Rural
Texas State University,31005,75,8060,Southwest,Public,No,No,Suburb,0,2,7,31,0,54,3,2,0,56,36,6,12402,40,16742.7,8.06,1,0,Southwest,Suburb
Southwestern Adventist University,791,100,18640,Southwest,Private not-for-profit,No,No,Town,0,5,15,41,1,23,4,4,7,58,54,98,490.42,62,181.93,18.64,0,0,Southwest,Town
Southwestern Christian College,172,99,7620,Southwest,Private not-for-profit,Yes,No,Town,0,0,87,4,1,1,0,0,8,48,76,45,158.24,92,1.72,7.62,0,1,Southwest,Town
Sul Ross State University,2003,94,5436,Southwest,Public,No,No,Town,0,0,7,62,0,26,2,2,0,56,63,17,1382.07,69,520.78,5.436,1,0,Southwest,Town
Tarleton State University,11348,86,5856,Southwest,Public,No,No,Town,1,1,10,16,0,69,3,1,0,60,41,31,3177.4400000000005,28.000000000000004,7830.119999999999,5.856,1,0,Southwest,Town
Texas A & M University-Kingsville,9430,95,6940,Southwest,Public,No,No,Town,0,1,7,67,0,21,1,2,2,54,59,65,7072.5,75,1980.3,6.94,1,0,Southwest,Town
Texas A & M University-College Station,44072,79,8506,Southwest,Public,No,No,City,0,5,3,20,0,68,3,0,2,48,26,58,12340.160000000002,28.000000000000004,29968.960000000003,8.506,1,0,Southwest,City
The University of Texas at Arlington,25690,79,8878,Southwest,Public,No,No,City,0,12,15,25,0,40,3,1,4,56,44,42,13358.800000000001,52,10276,8.878,1,0,Southwest,City
The University of Texas at Austin,39979,63,9798,Southwest,Public,No,No,City,0,18,4,22,0,48,3,0,5,52,26,43,17590.76,43.99999999999999,19189.92,9.798,1,0,Southwest,City
The University of Texas at Dallas,13049,84,10864,Southwest,Public,No,No,City,0,26,6,17,0,40,4,1,4,43,26,72,6394.01,49,5219.6,10.864,1,0,Southwest,City
The University of Texas at El Paso,19696,86,7255,Southwest,Public,No,No,City,0,1,3,83,0,8,1,0,5,54,67,32,17135.52,87,1575.68,7.255,1,0,Southwest,City
The University of Texas at Tyler,5591,83,7222,Southwest,Public,No,No,City,0,3,9,15,0,63,8,1,1,57,33,47,1509.5700000000002,27,3522.33,7.222,1,0,Southwest,City
Texas Christian University,8640,75,36590,Southwest,Private not-for-profit,No,No,City,1,2,5,11,0,74,1,2,5,60,10,65,1641.6,19,6393.6,36.59,0,0,Southwest,City
Texas College,971,95,10008,Southwest,Private not-for-profit,Yes,No,City,0,0,86,10,0,3,0,0,1,39,94,23,932.16,96,29.13,10.008,0,1,Southwest,City
Texas Lutheran University,1329,100,25890,Southwest,Private not-for-profit,No,No,Town,0,1,8,31,0,56,0,3,0,52,41,100,531.6,40,744.2400000000001,25.89,0,0,Southwest,Town
The University of Texas of the Permian Basin,4246,92,5250,Southwest,Public,No,No,City,1,3,5,43,0,45,1,1,1,59,26,85,2207.92,52,1910.7,5.25,1,0,Southwest,City
The University of Texas at San Antonio,24342,84,7457,Southwest,Public,No,No,City,0,5,9,48,0,28,3,1,5,47,43,62,15092.039999999999,62,6815.76,7.457,1,0,Southwest,City
Texas Southern University,6288,95,7946,Southwest,Public,Yes,No,City,0,3,84,6,0,2,0,0,5,59,78,20,5847.839999999999,92.99999999999999,125.76,7.946,1,1,Southwest,City
Texas Tech University,27044,75,7517,Southwest,Public,No,No,City,0,3,6,21,0,63,3,1,4,44,24,41,8113.2,30,17037.72,7.517,1,0,Southwest,City
Texas Wesleyan University,1724,98,22040,Southwest,Private not-for-profit,No,No,City,1,2,15,20,0,31,4,2,24,51,39,93,655.12,38,534.4399999999999,22.04,0,0,Southwest,City
Texas Woman's University,9515,93,7339,Southwest,Public,No,No,City,1,8,20,24,0,43,3,1,1,89,59,38,5042.95,53,4091.45,7.339,1,0,Southwest,City
Trinity University,2161,94,34678,Southwest,Private not-for-profit,No,No,City,0,6,4,17,0,55,4,6,7,52,18,93,583.47,27,1188.5500000000002,34.678,0,0,Southwest,City
Wayland Baptist University,4515,96,12550,Southwest,Private not-for-profit,No,No,Town,1,3,16,26,1,44,4,4,1,50,53,87,2122.05,47,1986.6,12.55,0,0,Southwest,Town
West Texas A & M University,6906,90,6500,Southwest,Public,No,No,Town,1,1,5,23,0,64,2,2,2,55,41,36,2071.8,30.000000000000004,4419.84,6.5,1,0,Southwest,Town
